geoid,state_abb,county,tract,geographic_area_name,total,english_only,spanish,french,west_germanic_languages,slavic_languages,indo_european,korean,chinese,vietnamese,tagalog,asian_others,arabic,west_european,east_se_asian,unspecified,state,geography
06001400100,CA,Alameda County,4001,Census Tract 4001; Alameda County; California,1316,917,117,29,25,10,64,13,91,7,0,17,18,54,128,8,California,1400000US06001400100
06001400200,CA,Alameda County,4002,Census Tract 4002; Alameda County; California,861,671,75,20,5,4,36,8,17,0,11,14,0,25,50,0,California,1400000US06001400200
06001400300,CA,Alameda County,4003,Census Tract 4003; Alameda County; California,2713,2016,152,27,13,16,175,21,38,0,33,79,0,40,171,143,California,1400000US06001400300
06001400400,CA,Alameda County,4004,Census Tract 4004; Alameda County; California,1803,1383,203,35,15,4,42,8,38,35,19,21,0,50,121,0,California,1400000US06001400400
06001400500,CA,Alameda County,4005,Census Tract 4005; Alameda County; California,1655,1307,144,35,0,22,45,0,22,8,41,7,0,35,78,24,California,1400000US06001400500
06001400600,CA,Alameda County,4006,Census Tract 4006; Alameda County; California,795,638,64,17,0,0,16,0,16,6,6,0,21,17,28,11,California,1400000US06001400600
06001400700,CA,Alameda County,4007,Census Tract 4007; Alameda County; California,1899,1408,218,0,0,31,121,0,47,0,8,7,9,0,62,50,California,1400000US06001400700
06001400800,CA,Alameda County,4008,Census Tract 4008; Alameda County; California,1915,1387,197,21,8,15,63,27,119,9,0,47,22,29,202,0,California,1400000US06001400800
06001400900,CA,Alameda County,4009,Census Tract 4009; Alameda County; California,1127,936,99,27,0,0,0,0,18,0,19,18,0,27,55,10,California,1400000US06001400900
06001401000,CA,Alameda County,4010,Census Tract 4010; Alameda County; California,2522,1503,338,115,0,15,92,42,63,51,0,69,0,115,225,234,California,1400000US06001401000
06001401100,CA,Alameda County,4011,Census Tract 4011; Alameda County; California,2739,1780,337,150,0,7,145,10,112,16,31,92,0,150,261,59,California,1400000US06001401100
06001401200,CA,Alameda County,4012,Census Tract 4012; Alameda County; California,1496,1191,72,28,0,18,83,29,66,9,0,0,0,28,104,0,California,1400000US06001401200
06001401300,CA,Alameda County,4013,Census Tract 4013; Alameda County; California,2396,1581,73,53,26,5,84,117,91,0,9,82,71,79,299,204,California,1400000US06001401300
06001401400,CA,Alameda County,4014,Census Tract 4014; Alameda County; California,1709,1182,126,15,0,0,0,117,59,22,21,31,32,15,250,104,California,1400000US06001401400
06001401500,CA,Alameda County,4015,Census Tract 4015; Alameda County; California,1254,968,132,12,0,8,6,0,33,14,0,12,26,12,59,43,California,1400000US06001401500
06001401600,CA,Alameda County,4016,Census Tract 4016; Alameda County; California,969,631,183,0,1,7,19,17,24,13,0,17,13,1,71,44,California,1400000US06001401600
06001401700,CA,Alameda County,4017,Census Tract 4017; Alameda County; California,1515,1088,107,0,11,25,84,22,93,6,7,39,27,11,167,6,California,1400000US06001401700
06001401800,CA,Alameda County,4018,Census Tract 4018; Alameda County; California,710,482,156,0,8,0,13,8,17,0,11,0,15,8,36,0,California,1400000US06001401800
